"Step","decent-cherry-435 - par_0","decent-cherry-435 - par_0__MIN","decent-cherry-435 - par_0__MAX","decent-cherry-435 - par_1","decent-cherry-435 - par_1__MIN","decent-cherry-435 - par_1__MAX","decent-cherry-435 - par_2","decent-cherry-435 - par_2__MIN","decent-cherry-435 - par_2__MAX","decent-cherry-435 - par_3","decent-cherry-435 - par_3__MIN","decent-cherry-435 - par_3__MAX","decent-cherry-435 - par_4","decent-cherry-435 - par_4__MIN","decent-cherry-435 - par_4__MAX","decent-cherry-435 - par_5","decent-cherry-435 - par_5__MIN","decent-cherry-435 - par_5__MAX"
"0","1.1545647382736206","1.1545647382736206","1.1545647382736206","1.0789023637771606","1.0789023637771606","1.0789023637771606","1.1957619190216064","1.1957619190216064","1.1957619190216064","0.7992104291915894","0.7992104291915894","0.7992104291915894","1.0464727878570557","1.0464727878570557","1.0464727878570557","0.9749526977539062","0.9749526977539062","0.9749526977539062"
"1","1.2505427598953247","1.2505427598953247","1.2505427598953247","1.167128086090088","1.167128086090088","1.167128086090088","1.2947938442230225","1.2947938442230225","1.2947938442230225","0.7700111269950867","0.7700111269950867","0.7700111269950867","1.0210914611816406","1.0210914611816406","1.0210914611816406","0.9702683091163636","0.9702683091163636","0.9702683091163636"
"2","1.3403757810592651","1.3403757810592651","1.3403757810592651","1.2600116729736328","1.2600116729736328","1.2600116729736328","1.3923933506011963","1.3923933506011963","1.3923933506011963","0.7885746359825134","0.7885746359825134","0.7885746359825134","1.0576165914535522","1.0576165914535522","1.0576165914535522","0.9388498067855836","0.9388498067855836","0.9388498067855836"
"3","1.4286102056503296","1.4286102056503296","1.4286102056503296","1.3530877828598022","1.3530877828598022","1.3530877828598022","1.489384412765503","1.489384412765503","1.489384412765503","0.805265486240387","0.805265486240387","0.805265486240387","1.0275895595550537","1.0275895595550537","1.0275895595550537","0.8881542682647705","0.8881542682647705","0.8881542682647705"
"4","1.5128276348114014","1.5128276348114014","1.5128276348114014","1.4466028213500977","1.4466028213500977","1.4466028213500977","1.5852352380752563","1.5852352380752563","1.5852352380752563","0.7923768758773804","0.7923768758773804","0.7923768758773804","0.973086953163147","0.973086953163147","0.973086953163147","0.8254277110099792","0.8254277110099792","0.8254277110099792"
"5","1.59712016582489","1.59712016582489","1.59712016582489","1.542630672454834","1.542630672454834","1.542630672454834","1.6793349981307983","1.6793349981307983","1.6793349981307983","0.7727915048599243","0.7727915048599243","0.7727915048599243","0.9042559266090392","0.9042559266090392","0.9042559266090392","0.7528706192970276","0.7528706192970276","0.7528706192970276"
"6","1.6760077476501465","1.6760077476501465","1.6760077476501465","1.637953281402588","1.637953281402588","1.637953281402588","1.771937370300293","1.771937370300293","1.771937370300293","0.7740612626075745","0.7740612626075745","0.7740612626075745","0.8266911506652832","0.8266911506652832","0.8266911506652832","0.6857218742370605","0.6857218742370605","0.6857218742370605"
"7","1.7435128688812256","1.7435128688812256","1.7435128688812256","1.72857928276062","1.72857928276062","1.72857928276062","1.8635083436965945","1.8635083436965945","1.8635083436965945","0.7990367412567139","0.7990367412567139","0.7990367412567139","0.746286928653717","0.746286928653717","0.746286928653717","0.6459939479827881","0.6459939479827881","0.6459939479827881"
"8","1.8050422668457031","1.8050422668457031","1.8050422668457031","1.816407561302185","1.816407561302185","1.816407561302185","1.9531670808792112","1.9531670808792112","1.9531670808792112","0.8067180514335632","0.8067180514335632","0.8067180514335632","0.6623456478118896","0.6623456478118896","0.6623456478118896","0.6261953115463257","0.6261953115463257","0.6261953115463257"
"9","1.8678847551345823","1.8678847551345823","1.8678847551345823","1.9063647985458376","1.9063647985458376","1.9063647985458376","2.039738178253174","2.039738178253174","2.039738178253174","0.785535991191864","0.785535991191864","0.785535991191864","0.5798295140266418","0.5798295140266418","0.5798295140266418","0.6209776997566223","0.6209776997566223","0.6209776997566223"
"10","1.9358198642730713","1.9358198642730713","1.9358198642730713","1.9965497255325315","1.9965497255325315","1.9965497255325315","2.12339448928833","2.12339448928833","2.12339448928833","0.7429561018943787","0.7429561018943787","0.7429561018943787","0.5099903345108032","0.5099903345108032","0.5099903345108032","0.628665030002594","0.628665030002594","0.628665030002594"
"11","2.0072319507598877","2.0072319507598877","2.0072319507598877","2.0863513946533203","2.0863513946533203","2.0863513946533203","2.204169750213623","2.204169750213623","2.204169750213623","0.6864734292030334","0.6864734292030334","0.6864734292030334","0.45466914772987366","0.45466914772987366","0.45466914772987366","0.647235095500946","0.647235095500946","0.647235095500946"
"12","2.078038215637207","2.078038215637207","2.078038215637207","2.1729209423065186","2.1729209423065186","2.1729209423065186","2.2824862003326416","2.2824862003326416","2.2824862003326416","0.6248379349708557","0.6248379349708557","0.6248379349708557","0.41235291957855225","0.41235291957855225","0.41235291957855225","0.6742134094238281","0.6742134094238281","0.6742134094238281"
"13","2.1446683406829834","2.1446683406829834","2.1446683406829834","2.256520986557007","2.256520986557007","2.256520986557007","2.357870101928711","2.357870101928711","2.357870101928711","0.5758095979690552","0.5758095979690552","0.5758095979690552","0.3807943463325501","0.3807943463325501","0.3807943463325501","0.7042656540870667","0.7042656540870667","0.7042656540870667"
"14","2.2076096534729004","2.2076096534729004","2.2076096534729004","2.336744546890259","2.336744546890259","2.336744546890259","2.430319309234619","2.430319309234619","2.430319309234619","0.5432841181755066","0.5432841181755066","0.5432841181755066","0.35416385531425476","0.35416385531425476","0.35416385531425476","0.7368133068084717","0.7368133068084717","0.7368133068084717"
"15","2.263941764831543","2.263941764831543","2.263941764831543","2.416456699371338","2.416456699371338","2.416456699371338","2.500326633453369","2.500326633453369","2.500326633453369","0.5224111676216125","0.5224111676216125","0.5224111676216125","0.3278566598892212","0.3278566598892212","0.3278566598892212","0.7658044695854187","0.7658044695854187","0.7658044695854187"
"16","2.3168835639953613","2.3168835639953613","2.3168835639953613","2.493473768234253","2.493473768234253","2.493473768234253","2.5677332878112793","2.5677332878112793","2.5677332878112793","0.5070511102676392","0.5070511102676392","0.5070511102676392","0.30571407079696655","0.30571407079696655","0.30571407079696655","0.7893393039703369","0.7893393039703369","0.7893393039703369"
"17","2.3694498538970947","2.3694498538970947","2.3694498538970947","2.5674617290496826","2.5674617290496826","2.5674617290496826","2.633279800415039","2.633279800415039","2.633279800415039","0.4929731786251068","0.4929731786251068","0.4929731786251068","0.2864190340042114","0.2864190340042114","0.2864190340042114","0.8123141527175903","0.8123141527175903","0.8123141527175903"
"18","2.4252326488494873","2.4252326488494873","2.4252326488494873","2.6407551765441895","2.6407551765441895","2.6407551765441895","2.6958909034729004","2.6958909034729004","2.6958909034729004","0.4816787540912628","0.4816787540912628","0.4816787540912628","0.2728479206562042","0.2728479206562042","0.2728479206562042","0.8384637236595154","0.8384637236595154","0.8384637236595154"
"19","2.485718250274658","2.485718250274658","2.485718250274658","2.712470293045044","2.712470293045044","2.712470293045044","2.756258487701416","2.756258487701416","2.756258487701416","0.4816831350326538","0.4816831350326538","0.4816831350326538","0.26411062479019165","0.26411062479019165","0.26411062479019165","0.8668593168258667","0.8668593168258667","0.8668593168258667"
